emis_num,level,region,council,chfdom,school_name_and_town,phone,owner
110202205,Primary,East,kailahun district council,2,NATIONAL ISLAMIC PRIMARY GELEHUN,76924743,mission
110202206,Primary,East,kailahun district council,2,METHODIST PRIMARY SCHOOL GOUMA,78009857,mission
110202207,Primary,East,kailahun district council,2,METHODIST PRIMARY KABAMA KAMBAMA,76940461,mission
110202208,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY KORTUMA KORTUMA,76876893,mission
110202209,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY NYANDEHUN NYANDEHUN,88262604,mission
110202210,Primary,East,kailahun district council,2,SIERRA LEONE CHURCH NYANYAGOHUN NYANYAGOHUN,076409504,mission
110202301,JSS,East,kailahun district council,2,KONAH ISLAMIC JUNIOR SECONDARY SCHOOL,076650875,private
110203201,Primary,East,kailahun district council,2,NATIOANAL ISLAMIC PRIMARY KARLU JAWIE KARLU,76366369,mission
110203202,Primary,East,kailahun district council,2,PROVINCIAL ISLAMIC PRIMARY,078374283,mission
110203203,Primary,East,kailahun district council,2,KAILAHUN DISTRICT COUNCIL PRIMARY MADINA MADINA,76270711,government
110203204,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION PRIMARY MOTEHUN MOTEHUN,079389124,government
110203205,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION NGIEYA/KPEND ELLA,78477830,government
110203206,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY KPENDEMA NJALA,None,mission
110203207,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION NYEAMA NYEAMA,099002918,government
110203208,Primary,East,kailahun district council,2,SIERRA LEONE MUSLIM BROTHERHOOD PELLIE JAWIE,078628541,mission
110203209,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL SEMBEHUN,079389124,government
110203210,Primary,East,kailahun district council,2,NATIOANL ISLAMIC PRIMARY WILLOR WILLOR,077919964,mission
110203211,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION COMMITTEE YAWEI,099002918,government
110203301,JSS,East,kailahun district council,2,NGIEBU METHODIST JUNIOR SECONDARY SCHOOL NYEAMA,076744362,mission
110301102,Preschool,East,kailahun district council,3,GOD IS OUR LIGHT PRE-SCHOOL KONDORMA,088505705,mission
110301103,Preschool,East,kailahun district council,3,FREE PENTICOSTAL PRE-PRIMARY SCHOOL DIA,088439128,mission
110301201,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL DAMBO,79798326,mission
110301202,Primary,East,kailahun district council,3,E.B.M BOYD PRIMARY SCHOOL DIA,78620563,mission
110301203,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL DIA,78905633,mission
110301205,Primary,East,kailahun district council,3,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL FAMANDU,78695262,government
110301206,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL FOINDU FOINDU,78086289,mission
110301207,Primary,East,kailahun district council,3,GOD IS OUR LIGHT PRIMARY SCHOOL KONDORMA,030766704,mission
110301208,Primary,East,kailahun district council,3,METHODIST PRIMARY SCHOOL KONGORMA KONGORMA,78569028,government
110301209,Primary,East,kailahun district council,3,E.B.M BOYD BAPTIST PRIMARY SCHOOL KORMENDE,79661775,mission
110301210,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL KUNDUMA,77401989,mission
110301211,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL MANO PORMOR,88976344,community
110301212,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL NGAINGA,79495304,mission
110301214,Primary,East,kailahun district council,3,ROMAN CATHOLIC MISSION PRIMARY SCHOOL SANGHA,79498572,mission
110301215,Primary,East,kailahun district council,3,KAILAHUN DISTRICT EDUCATION COMMITTEE KOUDU,076382206,government
110301217,Primary,East,kailahun district council,3,ROMAN CATHOLIC PRIMARY SCHOOL KONGORMA,030469336,mission
110301218,Primary,East,kailahun district council,3,ASSEMBLY OF GOD PRIMARY SCHOOL YENGEMA,088791894,mission
110301220,Primary,East,kailahun district council,3,KL DEC PRIMARY SCHOOL,078784510,government
110301301,JSS,East,kailahun district council,3,GOVERNMENT JUNIOR SECONDARY DIA. DIA,76577460,community
110401101,Preschool,East,kailahun district council,4,ASSEMBLY OF GOD CHURCH PRE-PRIMARY SCHOOL KOINDU KOINDU,088487041,mission
110401102,Preschool,East,kailahun district council,4,TOLI PRE-ELEMENTARY SCHOOL KOINDU,078731378,community
110401103,Preschool,East,kailahun district council,4,FREE PENTICOSTAL PRE-SCHOOL KOINDU,030454418,mission
110401104,Preschool,East,kailahun district council,4,EARLY CHILDHOOD DEVELOPMENT CENTRE KOINDU,077022894,government
110401105,Preschool,East,kailahun district council,4,ST JOSEPH PRE SCH KOINDU,None,mission
110401201,Primary,East,kailahun district council,4,FREE PENTECOSTAL MISSION PRIMARY KOINDU,076547958,mission
110401202,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY I KOINDU KOINDU,030743590,mission
110401203,Primary,East,kailahun district council,4,SPIRITUAL LIFE PRIMARY SCHOOL KOINDU,30463373,mission
110401205,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY TURADU,88901305,mission
110401206,Primary,East,kailahun district council,4,ASSEMBLIES OF GOD PRIMARY KOINDU,088905689,mission
110401207,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION COMMITTEE KOINDU,099322859,government
110401209,Primary,East,kailahun district council,4,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY KOINDU KOINDU,088080392,mission
110401210,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION COMMITTEE YENGA YENGA,79618146,government
110401211,Primary,East,kailahun district council,4,GOD IS OUR LIGHT PRIMARY KOINDU,88445794,mission
110401213,Primary,East,kailahun district council,4,ANSARUL PRIMARY KOINDU KOINDU,076767654,mission
110401214,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY KUSEDU KUSEDU,77151983,mission
110401215,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY WEIMA WEIMA,030190485,mission
110401217,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY 11 KOINDU KOINDU,099055754,mission
110401218,Primary,East,kailahun district council,4,TOLI PRIMARY SCHOOL KOINDU,088123237,community
110401219,Primary,East,kailahun district council,4,RC SCHOOL KPANDU,088116377,mission
110401220,Primary,East,kailahun district council,4,R C PRIMARY SCHOOL,099748420,mission
110401302,JSS,East,kailahun district council,4,KISSI BENDU SECONDARY SCHOOL JSS KOINDU KOINDU,76798342,mission
110401303,JSS,East,kailahun district council,4,FREE PENTECOSTAL ACADEMY JUNIOR SEC SCH KOINDU,076728180,mission
110401304,JSS,East,kailahun district council,4,ASSEMBLIES OF GOD JUNIOR SEC SCH KOINDU TOWN,077784633,mission
110401305,JSS,East,kailahun district council,4,ASSEMBLY OF GOD JUNIOR5 SECONDARY SCHOOL KIONDU TOWN,077784633,mission
110401401,SSS,East,kailahun district council,4,KISSI BENDU S.S.S. KOINDU,76832886,mission
110402201,Primary,East,kailahun district council,4,KAILAHUN DISTRICT PRIMARY KPAYEH KPAYEH,077087344,government
110402202,Primary,East,kailahun district council,4,ASSEMBLIES OF GOD PRIMARY MAAH MAAH,030640364,mission
110402203,Primary,East,kailahun district council,4,EVANGELICAL BAPTIST MISSION BOYD PRIMARY YABAIMA,030034166,mission
110402204,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY YENDEH,030049792,mission
110402205,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION COMMITTEE LEOBENGU,030136467,government
110402206,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION PRIMARY BAYAMA,088647054,government
110402207,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY FOWA FOWA,088752815,government
110402208,Primary,East,kailahun district council,4,METHODIST PRIMARY MISSION SCHOOL KPETEMA,099303970,mission
110403201,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION KANGAMA KANGAMA,76523503,government
110403202,Primary,East,kailahun district council,4,ROMAN CATHOLIC PRIMARY KANGAMA KANGAMA,76551798,mission
110403203,Primary,East,kailahun district council,4,THOMAS TENGBEH MEMORIAL PRIMARY SCHOOL KPEKELEDU,076666163,private
110403204,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION COMMITTEE TANGABU,030688136,government
110403205,Primary,East,kailahun district council,4,KAILAHUN DISTRICT EDUCATION CENTRE YELENDU YELENDU,078428949,government
110403206,Primary,East,kailahun district council,4,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY BAOMA KUKUMA,099564060,mission
110403207,Primary,East,kailahun district council,4,ASSEMBLES OF GOD PRIMARY SCHOOL KANGAMA,077208491,mission
110501101,Preschool,East,kailahun district council,5,ALADURA PRE-PRIMARY SCHOOL BUEDU,76449530,community
110501102,Preschool,East,kailahun district council,5,COMMUNITY PRE-PRIMARY SCHOOL BUEDU,None,mission
110501103,Preschool,East,kailahun district council,5,FREE PENTICOSTAL PRE- PRIMARY SCHOOL KAMAKPONDU,088080348,mission
110501201,Primary,East,kailahun district council,5,JEFFERSON BAPTIST PRIMARY BUEDU,79395356,mission
110501202,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL BUEDU,76986295,government
110501203,Primary,East,kailahun district council,5,NATIONAL ISLAMIC PRIMARY BUEDU BUEDU,030027754,mission
110501204,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY SCHOOL BUEDU BUEDU,030366506,mission
110501205,Primary,East,kailahun district council,5,ASSEMBLY OF GOD PRIMARY DABALLA DABALLA,79095863,mission
110501206,Primary,East,kailahun district council,5,FREE PENETECOSTAL PRIMARY KAMAPUNDU,None,mission
110501207,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY KONDORMA,30150690,mission
110501208,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY TINDONIN,78594561,government
110501210,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY DAMBALLA DAMBALLA,None,mission
110501211,Primary,East,kailahun district council,5,COMMUNITY PRIMARY SCHOOL BUEDU,079971052,community
110501212,Primary,East,kailahun district council,5,TONGI ACADEMY PRIMARY SCHOOL BUEDU,088421333,community
110501213,Primary,East,kailahun district council,5,ALADURA PRIMARY SCHOOL BUEDU,076903229,mission
110501301,JSS,East,kailahun district council,5,EASTERN ISLAMIC JUNIOR SECONDARY SCHOOL BUEDU,076575398,mission
110501302,JSS,East,kailahun district council,5,KISSI TONGI HIGH SECONDARY SCHOOL BUEDU,76676712,mission
110501304,JSS,East,kailahun district council,5,BUEDU COMMUNITY JUNIOR SECONDARY SCHOOL BUEDU,076427791,community
110501401,SSS,East,kailahun district council,5,EASTERN ISLAMIC SENIOR SECONDARY SCHOOL BUEDU,78941300,mission
110501402,SSS,East,kailahun district council,5,KISSI TONGI SENIOR HIGH SCHOOL S.S.S. BUEDU,079034790,mission
110502201,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY TAIDU,78009127,mission
110502202,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL FUADU/WEAH,None,government
110502203,Primary,East,kailahun district council,5,ASSEMBLY OF GOD PRIMARY SCHOOL SARDU,76454598,mission
110502204,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY SCHOOL SONDOKOLO/BENDU SONDOKOLO/ BENDU,76380821,mission
110502205,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY SANDIA SANDIA,78760248,mission
110502206,Primary,East,kailahun district council,5,CHRIST EVANGELICAL LUTHERAN PRIMARY SCHOOL,0793471229,mission
110502207,Primary,East,kailahun district council,5,COMMUNITY PRIMARY SCHOOL,088131229,community
110502208,Primary,East,kailahun district council,5,CHRIST EVANGELICAL LUTHERN PRI SCH,None,mission
110503201,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE KONIA,76297603,private
110503202,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY KOINDU COMBEY,None,government
110503203,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE GBALAMA,76681714,government
110503204,Primary,East,kailahun district council,5,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY KANGA,76864302,mission
110503205,Primary,East,kailahun district council,5,NATIONAL ISLAMIC PRIMARY SCHOOL BAYAMA KOMENDE,78391818,mission
110503206,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL VOAHUN,088032172,government
110503207,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY MANDOPOLAH UN,76661909,government
110503208,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE TAMBA TEIKOR,76895614,private
110503209,Primary,East,kailahun district council,5,SIERRA LEONE MUSLIM BROTERHOOD DAMBALU,76580951,mission
110503210,Primary,East,kailahun district council,5,ROMAN CATHOLIC PRIMARY DAWA DAWA,None,mission
110503212,Primary,East,kailahun district council,5,FREE PENTICOSTAL PRIMARY SCHOOL BENDOMA,078828249,mission
110503213,Primary,East,kailahun district council,5,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY MANO TONGI,076454523,government
110503214,Primary,East,kailahun district council,5,KAILAHUN DISTRICTEDUCATION COMMITTEE PRIMARY SCHOOL GBANDIWULO,078217940,government
110601201,Primary,East,kailahun district council,6,METHODIST PRIMARY SCHOOL FOWAYA,076688863,mission
110601202,Primary,East,kailahun district council,6,ROMAN CATHOLIC PRIMARY GBAHAMA GBAHAMA,076217724,mission
110601203,Primary,East,kailahun district council,6,METHODIST PRIMARY GRIMA PEJE,076418623,mission
110601206,Primary,East,kailahun district council,6,AHMADIYYA MUSLIM PRIMARY MAMBOMA,78494184,mission
110601207,Primary,East,kailahun district council,6,METHODIST PRIMARY MAMBOMA,079346237,mission
110601208,Primary,East,kailahun district council,6,METHODIST PRIMARY MANOWA MANOWA,030202797,mission
110601209,Primary,East,kailahun district council,6,ROMAN CATHOLIC PRIMARY MANOWA,099557897,mission
110601210,Primary,East,kailahun district council,6,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY MANOWA,088765872,mission
110601212,Primary,East,kailahun district council,6,KAILAHUN DISTRICT EDUCATION BUNUMBU WULO,078331521,government
110601213,Primary,East,kailahun district council,6,KHULAIFAI RASHIDEEN ISLAMIC PRIMARY FOINDU MAWEI,78428758,mission
110601214,Primary,East,kailahun district council,6,METHODIST PRIMARY FOINDU FOINDU MAWEI,078477391,mission
110601215,Primary,East,kailahun district council,6,SIERRA LEONE MUSLIM PRIMARY NGALOHUN,078509900,mission
110601216,Primary,East,kailahun district council,6,METHODIST PRIMARY NGOLAHUN BONGRE,078795279,mission
110601217,Primary,East,kailahun district council,6,METHODIST PRIMARY PUJEHUN BONGRE PUJEHUN,76976421,mission
110601218,Primary,East,kailahun district council,6,ST CHRISTOPHER PRIMARY SALINA SALINA,078264709,mission
110601219,Primary,East,kailahun district council,6,ANSARUL ISLAMIC PRIMARY SCHOOL MAN JURU MAN JURU,076290576,mission
110601220,Primary,East,kailahun district council,6,ROMAN CATHOLIC SCHOOL,079132804,mission
110601301,JSS,East,kailahun district council,6,ST. CHARLES AGRICULTURAL JUNOIR SECONDARY SCHOOL MANOWA,079767597,government
110601302,JSS,East,kailahun district council,6,CHRIST STANDARD SECONDARY SCHOOL MAMBOMA,076374698,private
110701101,Preschool,East,kailahun district council,7,ST THERESAS PRE SCHOOL,078603702,mission
110701201,Primary,East,kailahun district council,7,UNITED ISLAMIC PRIMARY SCHOOL  BAOMA PEJE BAOMA PEJE,076627620,mission
110701202,Primary,East,kailahun district council,7,METHODIST PRIMARY SCHOOL BAOMA PEJE,76993495,government
110701203,Primary,East,kailahun district council,7,BUNUMBU TEACHER'S COLLEGE PRACTISIG SCHOOL BUNUMBU II,76903351,community
110701204,Primary,East,kailahun district council,7,NATIONAL ISLAMIC PRIMARY SCHOOL  BUNUMBU III BUNUMBU III,076976150,mission
110701205,Primary,East,kailahun district council,7,NATIONAL ISLAMIC PRIMARY SCHOOL BUNUMBU I,076292896,mission
110701206,Primary,East,kailahun district council,7,AHMADIYYA MUSLIM PRIMARY SCHOOL BUNUMBU II,78597253,mission
110701207,Primary,East,kailahun district council,7,ROMAN CATHOLIC PRIMARY SCHOOL BUNUMBU II,076343741,mission
110701208,Primary,East,kailahun district council,7,METHODIST PRIMARY SCHOOL BUNUMBU III,078904661,mission
110701209,Primary,East,kailahun district council,7,ROMAN CATHOLIC PRIMARY SCHOOL JOKIBU,079489802,mission
110701210,Primary,East,kailahun district council,7,METHODIST PRIMARY SCHOOL KIGBAI,76273648,mission
110701211,Primary,East,kailahun district council,7,ANSARUL ISLAMIC PRIMARY SCHOOL KONDIBU,077356032,mission
110701212,Primary,East,kailahun district council,7,ANSARUL ISLAMIC PRIMARY SCHOOL MADINA,76950427,mission
110701213,Primary,East,kailahun district council,7,METHODIST PRIMARY SCHOOL  PEJEWA PEJEWA,076642288,government
110701215,Primary,East,kailahun district council,7,JOINT INITIATIVE ACADEMY ORGANIZATION (JIAO) MISSION PRIMARY SCHOOL BUNUMBU 111,076945982,mission
110701301,JSS,East,kailahun district council,7,METHODIST AGRICULTURAL SECONDARY SCHOOL BUNUMBU II,76347602,mission
110701302,JSS,East,kailahun district council,7,SAINT JOHN'S VOCATIONAL SECONDARY SCHOOL. BUNUMBU II,078674572,mission
110701303,JSS,East,kailahun district council,7,LAMIN WACENDAHS PRIVATE SECONDARY SCHOOL,079588763,private
110701401,SSS,East,kailahun district council,7,METHODIST AGRIC. SECONDARY SCHOOL BUNUMBU 111,076347602,mission
110801101,Preschool,East,kailahun district council,8,KAILAHUN DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL LUAWA CHIEFDOM KAILAHUN. KAILAHUN,030729128,mission
110801201,Primary,East,kailahun district council,8,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL BAOMA LUAWA. KAILAHUN BAOMA LUAWA,030311526,government
110801202,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL BAOMA BAOMA LUAWA,080240151,mission
110801203,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL MOFINDOR,88539140,community
110801204,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL YENGEMA,099003075,mission
110801205,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL NYANYAHUN,030049254,mission
110801207,Primary,East,kailahun district council,8,METHODIS PRIMARY SCHOOL BAOMA BAOMA LUAWA,088501363,mission
110801208,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL,099285693,mission
110801301,JSS,East,kailahun district council,8,KAILAHUN COMMUNITY GIRLS SECONDARY SCHOOL,099455142,community
110802101,Preschool,East,kailahun district council,8,ADULLAM PRE-PRIMARY KAILAHUN KAILAHUN,088589851,community
110802102,Preschool,East,kailahun district council,8,COMMUNITY PRE-PRIMARY DAY CARE CENTRE. KAILAHUN,76557954,mission
110802103,Preschool,East,kailahun district council,8,HOLY CHILDHOOD PRE-SCHOOL ( ST. JOHN CATHOLIC) KAILAHUN,088175486,community
110802104,Preschool,East,kailahun district council,8,NEW LIFE PRE-PRIMARY SCHOOL KAILAHUN. KAILAHUN,076802648,community
110802105,Preschool,East,kailahun district council,8,PRE-PRIMARY DAY CARE KAILAHUN,76557954,mission
110802106,Preschool,East,kailahun district council,8,METHODIST PRE-PRIMARY SCHOOL KAILAHUN TOWN,088431008,community
110802107,Preschool,East,kailahun district council,8,NEW HARVEST EVERY NATION PRE-PRIMARY SCHOOL KAILAHUN TOWN,076813573,community
110802108,Preschool,East,kailahun district council,8,DAY CARE PRE-PRIMARY II SCHOOL KAILAHUNTOW N,78470193,mission
110802110,Preschool,East,kailahun district council,8,NATIONAL ISLAMIC PRE-SCHOOL KAILAHUN,079393102,mission
110802111,Preschool,East,kailahun district council,8,LUAWA INTERNATIONAL ACADEMY PRE- SCHOOL KAILAHUN,030697373,private
110802112,Preschool,East,kailahun district council,8,FREE PENTICOSTAL PRE-SCHOOL,088925194,mission
110802201,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL BANDAJUMA,77609294,community
110802203,Primary,East,kailahun district council,8,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL BAYAMA PEWAMA BAYAMA PEWAMA,030140389,mission
110802204,Primary,East,kailahun district council,8,ROMAN CATHOLIC PRIMARY SCHOOL  BORBU BORBU,79387399,community
110802205,Primary,East,kailahun district council,8,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL  BORBU BORBU,077467993,mission
110802206,Primary,East,kailahun district council,8,ROMAN CATHOLIC PRIMARY SCHOOL  JORLU. JORLU,088321813,mission
110802207,Primary,East,kailahun district council,8,ADULLAM PRIMARY SCHOOL  KAILAHUN KAILAHUN,88589851,mission
110802208,Primary,East,kailahun district council,8,AHMADIYYA MUSLIM PRIMARY SCHOOL KAILAHUN,076910565,community
110802209,Primary,East,kailahun district council,8,AHMADIYYA MUSLIM PRIMARY SCHOOL KAILAHUN,078538406,mission
110802210,Primary,East,kailahun district council,8,KAILAHUN DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL  KAILAHUN KAILAHUN,76951290,mission
110802211,Primary,East,kailahun district council,8,LUTHERAN PRIMARY SCHOOL KAILAHUN TOWN KAILAHUN,030175302,mission
110802212,Primary,East,kailahun district council,8,METHODIST PRIMARY SCHOOL KAILAHUN KAILAHUN,076359292,mission
110802213,Primary,East,kailahun district council,8,NATIONAL ISLAMIC PRIMARY SCHOOL  KAILAHUN TOWN KAILAHUN,77261945,community
110802214,Primary,East,kailahun district council,8,NEW HARVEST EVERY NATION PRIMARY SCHOOL KAILAHUN,076813573,mission
110802215,Primary,East,kailahun district council,8,PROVINCIAL ISLAMIC PRIMARY SCHOOL  KAILAHUN TOWN KAILAHUN,76797794,mission
110802216,Primary,East,kailahun district council,8,ROMAN CATHOLIC PRIMARY SCHOOL KAILAHUN,088340273,mission
110802217,Primary,East,kailahun district council,8,ROMAN CATHOLIC PRIMARY SCHOOL KAILAHUN,076644170,mission
110802218,Primary,East,kailahun district council,8,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL KAILAHUN,76508218,government
110802219,Primary,East,kailahun district council,8,TANGABU SERVICES PRIMARY  KAILAHUN KAILAHUN,077292584,mission
