emis_num,level,region,council,chfdom,school_name,town_name,phone,owner
110401213,Primary,East,kailahun district council,4,Ansarul Primary,Koindu,076767654,mission
110401214,Primary,East,kailahun district council,4,Roman Catholic Primary Kusedu,Kusedu,77151983,mission
110401215,Primary,East,kailahun district council,4,Roman Catholic Primary,Weima,030190485,mission
110401217,Primary,East,kailahun district council,4,Roman Catholic Primary 11 Koindu,Koindu,099055754,mission
110401218,Primary,East,kailahun district council,4,Toli Primary School,Koindu,088123237,community
110401219,Primary,East,kailahun district council,4,Rc School,Kpandu,088116377,mission
110401220,Primary,East,kailahun district council,4,R C Primary School,null,099748420,mission
110401302,JSS,East,kailahun district council,4,Kissi Bendu Secondary School Jss,Koindu,76798342,mission
110401303,JSS,East,kailahun district council,4,Free Pentecostal Academy Junior Sec Sch,Koindu,076728180,mission
110401304,JSS,East,kailahun district council,4,Assemblies Of God Junior Sec Sch,Koindu Town,077784633,mission
110401305,JSS,East,kailahun district council,4,Assembly Of God Junior5 Secondary School,Kiondu Town,077784633,mission
110401401,SSS,East,kailahun district council,4,Kissi Bendu S.S.S.,Koindu,76832886,mission
110402201,Primary,East,kailahun district council,4,Kailahun District Primary,Kpayeh,077087344,government
110402202,Primary,East,kailahun district council,4,Assemblies Of God Primary,Maah,030640364,mission
110402203,Primary,East,kailahun district council,4,Evangelical Baptist Mission Boyd Primary,Yabaima,030034166,mission
110402204,Primary,East,kailahun district council,4,Roman Catholic Primary,Yendeh,030049792,mission
110402205,Primary,East,kailahun district council,4,Kailahun District Education Committee,Leobengu,030136467,government
110402206,Primary,East,kailahun district council,4,Kailahun District Education Primary,Bayama,088647054,government
110402207,Primary,East,kailahun district council,4,Kailahun District Education Committee Primary,Fowa,088752815,government
110402208,Primary,East,kailahun district council,4,Methodist Primary Mission School,Kpetema,099303970,mission
110403201,Primary,East,kailahun district council,4,Kailahun District Education,Kangama,76523503,government
110403202,Primary,East,kailahun district council,4,Roman Catholic Primary,Kangama,76551798,mission
110403203,Primary,East,kailahun district council,4,Thomas Tengbeh Memorial Primary School,Kpekeledu,076666163,private
110403204,Primary,East,kailahun district council,4,Kailahun District Education Committee,Tangabu,030688136,government
110403205,Primary,East,kailahun district council,4,Kailahun District Education Centre,Yelendu,078428949,government
110403206,Primary,East,kailahun district council,4,Sierra Leone Muslim Brotherhood Primary,Baoma Kukuma,099564060,mission
110403207,Primary,East,kailahun district council,4,Assembles Of God Primary School,Kangama,077208491,mission
110501101,Preschool,East,kailahun district council,5,Aladura Pre-Primary School,Buedu,76449530,community
110501102,Preschool,East,kailahun district council,5,Community Pre-Primary School,Buedu,None,mission
110501103,Preschool,East,kailahun district council,5,Free Penticostal Pre- Primary School,Kamakpondu,088080348,mission
110501201,Primary,East,kailahun district council,5,Jefferson Baptist Primary,Buedu,79395356,mission
110501202,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary School,Buedu,76986295,government
110501203,Primary,East,kailahun district council,5,National Islamic Primary Buedu,Buedu,030027754,mission
110501204,Primary,East,kailahun district council,5,Roman Catholic Primary School Buedu,Buedu,030366506,mission
110501205,Primary,East,kailahun district council,5,Assembly Of God Primary,Daballa,79095863,mission
110501206,Primary,East,kailahun district council,5,Free Penetecostal Primary,Kamapundu,None,mission
110501207,Primary,East,kailahun district council,5,Roman Catholic Primary,Kondorma,30150690,mission
110501208,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary,Tindonin,78594561,government
110501210,Primary,East,kailahun district council,5,Roman Catholic Primary,Damballa,None,mission
110501211,Primary,East,kailahun district council,5,Community Primary School,Buedu,079971052,community
110501212,Primary,East,kailahun district council,5,Tongi Academy Primary School,Buedu,088421333,community
110501213,Primary,East,kailahun district council,5,Aladura Primary School,Buedu,076903229,mission
110501301,JSS,East,kailahun district council,5,Eastern Islamic Junior Secondary School,Buedu,076575398,mission
110501302,JSS,East,kailahun district council,5,Kissi Tongi High Secondary School,Buedu,76676712,mission
110501304,JSS,East,kailahun district council,5,Buedu Community Junior Secondary School,Buedu,076427791,community
110501401,SSS,East,kailahun district council,5,Eastern Islamic Senior Secondary School,Buedu,78941300,mission
110501402,SSS,East,kailahun district council,5,Kissi Tongi Senior High School S.S.S.,Buedu,079034790,mission
110502201,Primary,East,kailahun district council,5,Roman Catholic Primary,Taidu,78009127,mission
110502202,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary School,Fuadu/Weah,None,government
110502203,Primary,East,kailahun district council,5,Assembly Of God Primary School,Sardu,76454598,mission
110502204,Primary,East,kailahun district council,5,Roman Catholic Primary School Sondokolo/Bendu,Sondokolo/ Bendu,76380821,mission
110502205,Primary,East,kailahun district council,5,Roman Catholic Primary,Sandia,78760248,mission
110502206,Primary,East,kailahun district council,5,Christ Evangelical Lutheran Primary School,null,0793471229,mission
110502207,Primary,East,kailahun district council,5,Community Primary School,null,088131229,community
110502208,Primary,East,kailahun district council,5,Christ Evangelical Luthern Pri Sch,null,None,mission
110503201,Primary,East,kailahun district council,5,Kailahun District Education Committee,Konia,76297603,private
110503202,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary,Koindu Combey,None,government
110503203,Primary,East,kailahun district council,5,Kailahun District Education Committee,Gbalama,76681714,government
110503204,Primary,East,kailahun district council,5,Sierra Leone Muslim Brotherhood Primary,Kanga,76864302,mission
110503205,Primary,East,kailahun district council,5,National Islamic Primary School Bayama,Komende,78391818,mission
110503206,Primary,East,kailahun district council,5,Kailahun District Education Council Primary School,Voahun,088032172,government
110503207,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary,Mandopolah Un,76661909,government
110503208,Primary,East,kailahun district council,5,Kailahun District Education Committee,Tamba Teikor,76895614,private
110503209,Primary,East,kailahun district council,5,Sierra Leone Muslim Broterhood,Dambalu,76580951,mission
110503210,Primary,East,kailahun district council,5,Roman Catholic Primary,Dawa,None,mission
110503212,Primary,East,kailahun district council,5,Free Penticostal Primary School,Bendoma,078828249,mission
110503213,Primary,East,kailahun district council,5,Kailahun District Education Committee Primary,Mano Tongi,076454523,government
110503214,Primary,East,kailahun district council,5,Kailahun Districteducation Committee Primary School,Gbandiwulo,078217940,government
110601201,Primary,East,kailahun district council,6,Methodist Primary School,Fowaya,076688863,mission
110601202,Primary,East,kailahun district council,6,Roman Catholic Primary Gbahama,Gbahama,076217724,mission
110601203,Primary,East,kailahun district council,6,Methodist Primary Grima,Peje,076418623,mission
110601206,Primary,East,kailahun district council,6,Ahmadiyya Muslim Primary,Mamboma,78494184,mission
110601207,Primary,East,kailahun district council,6,Methodist Primary,Mamboma,079346237,mission
110601208,Primary,East,kailahun district council,6,Methodist Primary,Manowa,030202797,mission
110601209,Primary,East,kailahun district council,6,Roman Catholic Primary,Manowa,099557897,mission
110601210,Primary,East,kailahun district council,6,Sierra Leone Muslim Brotherhood Primary,Manowa,088765872,mission
110601212,Primary,East,kailahun district council,6,Kailahun District Education,Bunumbu,078331521,government
110601213,Primary,East,kailahun district council,6,Khulaifai Rashideen Islamic Primary,Mawei,78428758,mission
110601214,Primary,East,kailahun district council,6,Methodist Primary Foindu,Foindu,078477391,mission
110601215,Primary,East,kailahun district council,6,Sierra Leone Muslim Primary,Ngalohun,078509900,mission
110601216,Primary,East,kailahun district council,6,Methodist Primary Ngolahun,Bongre,078795279,mission
110601217,Primary,East,kailahun district council,6,Methodist Primary Pujehun,Bongre Pujehun,76976421,mission
110601218,Primary,East,kailahun district council,6,St Christopher Primary,Salina,078264709,mission
110601219,Primary,East,kailahun district council,6,Ansarul Islamic Primary School,Man Juru,076290576,mission
110601220,Primary,East,kailahun district council,6,Roman Catholic School,null,079132804,mission
110601301,JSS,East,kailahun district council,6,St. Charles Agricultural Junior Secondary School,Manowa,079767597,government
110601302,JSS,East,kailahun district council,6,Christ Standard Secondary School,Mamboma,076374698,private
110701101,Preschool,East,kailahun district council,7,St Theresas Pre School,null,078603702,mission
110701201,Primary,East,kailahun district council,7,United Islamic Primary School Baoma,Peje Baoma,076627620,mission
110701202,Primary,East,kailahun district council,7,Methodist Primary School,Baoma Peje,76993495,government
110701203,Primary,East,kailahun district council,7,Bunumbu Teacher'S College Practisig School,Bunumbu Ii,76903351,community
110701204,Primary,East,kailahun district council,7,National Islamic Primary School Bunumbu,Bunumbu Iii,076976150,mission
110701205,Primary,East,kailahun district council,7,National Islamic Primary School,Bunumbu,076292896,mission
110701206,Primary,East,kailahun district council,7,Ahmadiyya Muslim Primary School,Bunumbu Ii,78597253,mission
110701207,Primary,East,kailahun district council,7,Roman Catholic Primary School Bunumbu,Ii,076343741,mission
110701208,Primary,East,kailahun district council,7,Methodist Primary School,Bunumbu Iii,078904661,mission
110701209,Primary,East,kailahun district council,7,Roman Catholic Primary School,Jokibu,079489802,mission
110701210,Primary,East,kailahun district council,7,Methodist Primary School,Kigbai,76273648,mission
110701211,Primary,East,kailahun district council,7,Ansarul Islamic Primary School,Kondibu,077356032,mission
110701212,Primary,East,kailahun district council,7,Ansarul Islamic Primary School,Madina,76950427,mission
110701213,Primary,East,kailahun district council,7,Methodist Primary School,Pejewa,076642288,government
110701215,Primary,East,kailahun district council,7,Joint Initiative Academy Organization (Jiao) Mission Primary School,Bunumbu,076945982,mission
110701301,JSS,East,kailahun district council,7,Methodist Agricultural Secondary School,Bunumbu Ii,76347602,mission
110701302,JSS,East,kailahun district council,7,Saint John'S Vocational Secondary School,Bunumbu Ii,078674572,mission
110701303,JSS,East,kailahun district council,7,Lamin Wacendahs Private Secondary School,null,079588763,private
110701401,SSS,East,kailahun district council,7,Methodist Agric. Secondary School,Bunumbu,076347602,mission
110801101,Preschool,East,kailahun district council,8,Kailahun District Education Committee Pre-Primary School Luawa Chiefdom,Kailahun,030729128,mission
110801201,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School Baoma,Luawa,030311526,government
110801202,Primary,East,kailahun district council,8,Methodist Primary School Baoma,Luawa,080240151,mission
110801203,Primary,East,kailahun district council,8,Methodist Primary School,Mofindor,88539140,community
110801204,Primary,East,kailahun district council,8,Methodist Primary School,Yengema,099003075,mission
110801205,Primary,East,kailahun district council,8,Methodist Primary School,Nyanyahun,030049254,mission
110801207,Primary,East,kailahun district council,8,Methodis Primary School Baoma,Baoma Luawa,088501363,mission
110801208,Primary,East,kailahun district council,8,Methodist Primary School,null,099285693,mission
110801301,JSS,East,kailahun district council,8,Kailahun Community Girls Secondary School,null,099455142,community
110802101,Preschool,East,kailahun district council,8,Adullam Pre-Primary,Kailahun,088589851,community
110802102,Preschool,East,kailahun district council,8,Community Pre-Primary Day Care Centre,Kailahun,76557954,mission
110802103,Preschool,East,kailahun district council,8,Holy Childhood Pre-School ( St. John Catholic),Kailahun,088175486,community
110802104,Preschool,East,kailahun district council,8,New Life Pre-Primary School,Kailahun,076802648,community
110802105,Preschool,East,kailahun district council,8,Pre-Primary Day Care,Kailahun,76557954,mission
110802106,Preschool,East,kailahun district council,8,Methodist Pre-Primary School,Kailahun Town,088431008,community
110802107,Preschool,East,kailahun district council,8,New Harvest Every Nation Pre-Primary School,Kailahun Town,076813573,community
110802108,Preschool,East,kailahun district council,8,Day Care Pre-Primary Ii School,Kailahuntow,78470193,mission
110802110,Preschool,East,kailahun district council,8,National Islamic Pre-School,Kailahun,079393102,mission
110802111,Preschool,East,kailahun district council,8,Luawa International Academy Pre- School,Kailahun,030697373,private
110802112,Preschool,East,kailahun district council,8,Free Penticostal Pre-School,null,088925194,mission
110802201,Primary,East,kailahun district council,8,Methodist Primary School,Bandajuma,77609294,community
110802203,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School Bayama,Pewama,030140389,mission
110802204,Primary,East,kailahun district council,8,Roman Catholic Primary School Borbu,Borbu,79387399,community
110802205,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School Borbu,Borbu,077467993,mission
110802206,Primary,East,kailahun district council,8,Roman Catholic Primary School,Jorlu,088321813,mission
110802207,Primary,East,kailahun district council,8,Adullam Primary School,Kailahun,88589851,mission
110802208,Primary,East,kailahun district council,8,Ahmadiyya Muslim Primary School,Kailahun,076910565,community
110802209,Primary,East,kailahun district council,8,Ahmadiyya Muslim Primary School,Kailahun,078538406,mission
110802210,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Kailahun,76951290,mission
110802211,Primary,East,kailahun district council,8,Lutheran Primary School Kailahun,Kailahun,030175302,mission
110802212,Primary,East,kailahun district council,8,Methodist Primary School,Kailahun,076359292,mission
110802213,Primary,East,kailahun district council,8,National Islamic Primary School Kailahun,Kailahun,77261945,community
110802214,Primary,East,kailahun district council,8,New Harvest Every Nation Primary School,Kailahun,076813573,mission
110802215,Primary,East,kailahun district council,8,Provincial Islamic Primary School Kailahun,Kailahun,76797794,mission
110802216,Primary,East,kailahun district council,8,Roman Catholic Primary School,Kailahun,088340273,mission
110802217,Primary,East,kailahun district council,8,Roman Catholic Primary School,Kailahun,076644170,mission
110802218,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Kailahun,76508218,government
110802219,Primary,East,kailahun district council,8,Tangabu Services Primary,Kailahun,077292584,mission
110802220,Primary,East,kailahun district council,8,Methodist Primary School,Kenewa,080353407,mission
110802221,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Mamboma,76507292,government
110802222,Primary,East,kailahun district council,8,Methodist Primary,Ngevola,78141521,mission
110802223,Primary,East,kailahun district council,8,National Islamic Primary,Sandeya,088038234,mission
110802224,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Tailu,099393871,community
110802225,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Yandowahun,030726147,mission
110802226,Primary,East,kailahun district council,8,Free Penticostal Primary School,Topkombu,076974474,mission
110802227,Primary,East,kailahun district council,8,Sierra Leone Muslim Brootherhood 11 Primary,Mblembu,077206984,mission
110802228,Primary,East,kailahun district council,8,Community Day Care Primary School 1,Masantta,078787497,community
110802229,Primary,East,kailahun district council,8,Luawa International Academy Primary School,Kailahun,079425866,private
110802230,Primary,East,kailahun district council,8,Methodist Primary School,Namiema,077070597,mission
110802231,Primary,East,kailahun district council,8,New Life Primary School,Kailahun,076802648,mission
110802232,Primary,East,kailahun district council,8,Community Day Care Primary School 11 Lamin Farmaga,Kailahun,088915351,community
110802301,JSS,East,kailahun district council,8,Methodist Secondary School,Kailahun,76643631,mission
110802303,JSS,East,kailahun district council,8,Tahir Ahmadiyya Muslim Secondary School,Kailahun,76823912,mission
110802304,JSS,East,kailahun district council,8,Luawa Islamic Secondary School,Luawa,079661848,mission
110802305,JSS,East,kailahun district council,8,Luawa International Academy Junior Secondary School,Kailahun,030509450,private
110802401,SSS,East,kailahun district council,8,Methodist Senior Secondary School,Kailahun,078377058,mission
110802402,SSS,East,kailahun district council,8,National Senior Secondary School,Kailahun,76824946,mission
110802403,SSS,East,kailahun district council,8,Luawa International Academy,Kailahun,079425866,private
110803101,Preschool,East,kailahun district council,8,Early Child Centre Development Pre- School,Gbalahun,030236067,other
110803102,Preschool,East,kailahun district council,8,Early Childhood Car Development Pre- Primary School,Sandeyallu,030732783,community
110803201,Primary,East,kailahun district council,8,Methodist Primary School,Baoma,030483634,mission
110803203,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Dodo Junction,088612971,government
110803204,Primary,East,kailahun district council,8,Methodist Primary School Dodo,Kortuma,078561835,mission
110803205,Primary,East,kailahun district council,8,Methodist Primmary School,Folima,030054764,mission
110803206,Primary,East,kailahun district council,8,Ahmadiyya Primary School,Gbalahun,76514343,mission
110803207,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Gbalahun,077300102,government
110803208,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Kpandebu,030669324,government
110803209,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Mamuto,030138313,government
110803210,Primary,East,kailahun district council,8,Roman Catholic Primary School,Mano Sewallu,088911448,mission
110803212,Primary,East,kailahun district council,8,Methodist Primary School,Sandeyallu,030445209,mission
110803213,Primary,East,kailahun district council,8,Ahmadiyya Muslim Primary School,Sandeyalu,088239627,mission
110803214,Primary,East,kailahun district council,8,Early Childhood Care Development Primary School,Sandeyallu,030732783,mission
110803215,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary,Mano Sewallu,088932592,mission
110803216,Primary,East,kailahun district council,8,Shalom Academy Primary School,Folima,078647591,mission
110803301,JSS,East,kailahun district council,8,Gbela Community Juniopr Secondary Schoo.,Gbalahun,076524125,mission
110804201,Primary,East,kailahun district council,8,Supreme Islamic Primary,Bunumbu,099321884,mission
110804203,Primary,East,kailahun district council,8,Roman Catholic Primary School,Kossie Baoma,088958787,mission
110804204,Primary,East,kailahun district council,8,National Islamic Primary,Lalehun,076404546,mission
110804205,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Mende Keima,076762794,government
110804206,Primary,East,kailahun district council,8,Roman Catholic Primary School,Nagbena,088896186,mission
110804207,Primary,East,kailahun district council,8,Roman Catholic Primary School,Nyandehun,088439065,mission
110804208,Primary,East,kailahun district council,8,Supreme Islamic Primary,Nyandeyhun,088217787,mission
110804210,Primary,East,kailahun district council,8,Kailahun District Education Council Primary School,Talia,088574450,community
110804301,JSS,East,kailahun district council,8,Mamba Secondary School,Nyandehun,077507434,community
110805101,Preschool,East,kailahun district council,8,Community Pre Primary Care,null,079981307,community
110805201,Primary,East,kailahun district council,8,Roman Catholic Primary School,Ngiehun,088769697,government
110805202,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Ngiehun,76298509,mission
110805203,Primary,East,kailahun district council,8,Methodist Primary School,Ngiehun,79001235,mission
110805204,Primary,East,kailahun district council,8,Roman Catholic Primary School,Mende-Buima,088908634,mission
110805207,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Fobu,30727548,government
110805208,Primary,East,kailahun district council,8,Methodist Primary Kembetahun,Luawa,078377637,mission
110805209,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood,Mende Buima,030082397,mission
110805301,JSS,East,kailahun district council,8,Moravian Junior Secondary School,Ngiehun,76892565,mission
110806201,Primary,East,kailahun district council,8,Roman Catholic Primary School,Gbatorma,077293896,mission
110806202,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Gbeworbu,079268123,mission
110806203,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Gondama,76229590,government
110806204,Primary,East,kailahun district council,8,Kailahun District Education Council,Jengbellu,076962501,government
110806205,Primary,East,kailahun district council,8,Kailahun District Education Committee Primary School,Konjo,79695441,government
110806207,Primary,East,kailahun district council,8,Methodist Primary School,Ngiema,076381319,mission
110806208,Primary,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Primary School,Sengema,88838272,mission
110806301,JSS,East,kailahun district council,8,Sierra Leone Muslim Brotherhood Jss,Gbaworbu,078773009,mission
110901101,Preschool,East,kailahun district council,9,Early Childhood Care And Development Pre-School,Jojoima,None,community
110901201,Primary,East,kailahun district council,9,Methodist Primary School,Jojoima,76146728,mission
110901202,Primary,East,kailahun district council,9,Provincial Islamic Primary School,Jojoima,78543105,mission
110901203,Primary,East,kailahun district council,9,Roman Catholic Primary School,Jojoima,76120022,mission
